Image File,road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
37.55139109698664_126.9028637674613_0_0.jpg,0.2767,0.0072,0.1748,0.022,0.0265,0.0115,0.0,0.0055,0.276,0.0279,0.1696,0.0,0.0,0.002,0.0002,0.0,0.0,0.0,0.0
37.56315436980616_126.9225907256721_1_180.jpg,0.2798,0.0006,0.5388,0.0,0.0032,0.0006,0.0,0.002,0.0014,0.0029,0.116,0.0023,0.0013,0.0507,0.0,0.0,0.0,0.0,0.0003
37.56442844497042_126.9234930476233_0_0.jpg,0.2592,0.0323,0.3744,0.0,0.0,0.0009,0.0,0.0051,0.1984,0.0,0.0534,0.0063,0.0003,0.0666,0.0031,0.0,0.0,0.0,0.0
37.56444857883312_126.9087794665567_0_0.jpg,0.1785,0.1981,0.0319,0.0,0.0052,0.0007,0.0,0.0056,0.5692,0.0,0.0108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.56162581533562_126.8995046524518_0_0.jpg,0.372,0.0,0.0093,0.2734,0.0036,0.0052,0.0012,0.0034,0.0003,0.0022,0.3271,0.0002,0.0,0.0013,0.0007,0.0,0.0,0.0,0.0
37.56056016055583_126.9219987144082_1_180.jpg,0.3043,0.0007,0.5641,0.0,0.0,0.0046,0.0,0.0059,0.0122,0.0,0.0999,0.0033,0.0,0.0042,0.0001,0.0,0.0006,0.0,0.0
37.56284411005713_126.9214420537577_0_0.jpg,0.2989,0.0654,0.2013,0.0,0.0,0.0039,0.0,0.0032,0.2295,0.0,0.1037,0.0054,0.0002,0.0866,0.0015,0.0,0.0003,0.0002,0.0
37.56252807028018_126.9244991235008_0_0.jpg,0.2577,0.039,0.3724,0.0,0.0001,0.0343,0.0,0.0042,0.0247,0.0,0.1876,0.0029,0.0,0.0602,0.0005,0.0,0.0002,0.0004,0.0159
37.5606557801252_126.9187216072821_0_0.jpg,0.2814,0.0039,0.2911,0.0288,0.0187,0.0144,0.0001,0.0021,0.0359,0.0,0.217,0.0012,0.0,0.1048,0.0006,0.0,0.0,0.0,0.0
37.55575256991696_126.9197156898002_0_0.jpg,0.0941,0.0136,0.259,0.0,0.0,0.0044,0.0,0.0014,0.0963,0.0072,0.2072,0.0,0.0,0.3168,0.0,0.0,0.0,0.0,0.0
37.55975690805687_126.9203123953445_0_0.jpg,0.1256,0.0001,0.5114,0.0,0.0024,0.0,0.0,0.0,0.1588,0.0,0.1282,0.0013,0.0,0.0702,0.0,0.0,0.0,0.0002,0.0018
37.56037936492359_126.9209361664732_0_0.jpg,0.2473,0.0006,0.5871,0.0,0.0,0.0077,0.0,0.0006,0.0,0.0,0.1257,0.0029,0.0006,0.0275,0.0,0.0,0.0,0.0,0.0001
37.5618395385072_126.9002217327767_1_180.jpg,0.1217,0.0105,0.0178,0.0,0.05,0.0039,0.0,0.0123,0.3876,0.0822,0.2994,0.0,0.0,0.0116,0.0,0.0,0.003,0.0,0.0
37.56536358744194_126.921089729514_0_0.jpg,0.1565,0.002,0.5604,0.0,0.0017,0.0,0.0,0.0,0.0123,0.0007,0.0932,0.0049,0.0,0.1682,0.0001,0.0,0.0,0.0,0.0
37.56035504962006_126.8964923298385_1_180.jpg,0.245,0.0001,0.007,0.0169,0.046,0.0001,0.0001,0.0002,0.1742,0.0007,0.3265,0.0006,0.0,0.0383,0.1441,0.0,0.0,0.0,0.0001
37.56455457820482_126.9226368263902_0_0.jpg,0.2158,0.0002,0.5699,0.0,0.0,0.0,0.0,0.0,0.1098,0.0081,0.0908,0.0035,0.0,0.0018,0.0,0.0,0.0,0.0,0.0
37.5627720044705_126.9231440964333_1_180.jpg,0.1913,0.0121,0.6727,0.0,0.0,0.0,0.0,0.0033,0.0285,0.0,0.0866,0.001,0.0,0.0024,0.002,0.0,0.0002,0.0,0.0
37.56468053594664_126.9243079988565_1_180.jpg,0.3603,0.0004,0.4542,0.0,0.0072,0.0031,0.0,0.0028,0.0664,0.0,0.0851,0.0021,0.0,0.0074,0.0109,0.0,0.0,0.0,0.0
37.56372078615603_126.9246042008289_1_180.jpg,0.2652,0.0021,0.0586,0.0,0.0058,0.0004,0.0003,0.0017,0.0253,0.1819,0.4361,0.0001,0.0,0.0213,0.0012,0.0,0.0,0.0,0.0
37.55926887489289_126.9157766058842_0_0.jpg,0.3285,0.0028,0.5713,0.0,0.0145,0.0,0.0,0.0018,0.0011,0.0,0.0358,0.0,0.0,0.0441,0.0,0.0,0.0,0.0,0.0
37.56172818268232_126.9182815750343_0_0.jpg,0.2265,0.0,0.5146,0.0109,0.0,0.0032,0.0,0.0045,0.0129,0.0,0.2103,0.0074,0.0,0.0096,0.0,0.0,0.0,0.0,0.0
37.5664238653026_126.9171018260309_0_0.jpg,0.3025,0.0669,0.5525,0.0,0.0132,0.0024,0.0,0.003,0.0,0.0,0.0546,0.0014,0.0,0.0034,0.0,0.0,0.0,0.0,0.0
37.56616008284409_126.9183375226068_1_180.jpg,0.2352,0.0,0.61,0.0214,0.013,0.0067,0.0,0.0162,0.0159,0.0065,0.0492,0.0,0.0,0.0035,0.0225,0.0,0.0,0.0,0.0
37.56351715260421_126.9177242298768_1_180.jpg,0.2033,0.0045,0.5818,0.0,0.0721,0.0027,0.0,0.0072,0.0,0.0,0.1186,0.0074,0.0002,0.0023,0.0,0.0,0.0,0.0,0.0
37.55507880544181_126.9168023943296_0_0.jpg,0.2807,0.0601,0.3317,0.0,0.0019,0.0009,0.0,0.0102,0.2712,0.0042,0.0117,0.0013,0.0,0.0256,0.0004,0.0,0.0,0.0,0.0
37.56504394548384_126.9256367559734_0_0.jpg,0.2984,0.0,0.5364,0.0,0.0,0.0,0.0,0.0044,0.0216,0.0003,0.1269,0.0106,0.0,0.0013,0.0001,0.0,0.0,0.0,0.0
37.56469030642143_126.9257168136609_0_0.jpg,0.2324,0.0159,0.5573,0.0,0.0,0.013,0.0,0.0036,0.0088,0.0032,0.1301,0.0009,0.0,0.0336,0.0012,0.0,0.0,0.0,0.0
37.56141080548418_126.9200652315393_1_180.jpg,0.1641,0.0067,0.6357,0.0,0.0109,0.0,0.0006,0.0087,0.0004,0.0,0.0622,0.0003,0.0,0.1103,0.0001,0.0,0.0,0.0,0.0
37.56454670470046_126.9263863090544_1_180.jpg,0.1535,0.0,0.0032,0.0291,0.0,0.0025,0.0,0.0,0.4481,0.0041,0.1276,0.0,0.0,0.2319,0.0,0.0,0.0,0.0,0.0
37.56200591865679_126.921187839066_0_0.jpg,0.3683,0.0048,0.271,0.0,0.0087,0.0007,0.0,0.002,0.0376,0.0004,0.2416,0.0057,0.0006,0.0535,0.0044,0.0,0.0,0.0,0.0006
37.56590045850073_126.9136693630139_0_0.jpg,0.3943,0.0,0.1867,0.0043,0.0094,0.1397,0.0,0.0071,0.0706,0.0,0.0968,0.0,0.0,0.0095,0.0,0.0816,0.0,0.0,0.0
37.55749373359064_126.92112615147_0_0.jpg,0.2754,0.0,0.4271,0.0,0.0009,0.0094,0.0001,0.0096,0.0754,0.0,0.1647,0.0095,0.0002,0.0268,0.0002,0.0,0.0,0.0007,0.0
37.55860273356499_126.9207191104727_0_0.jpg,0.1112,0.0,0.4203,0.0,0.0,0.0032,0.0,0.0039,0.0305,0.0,0.1338,0.0003,0.0,0.2964,0.0004,0.0,0.0,0.0,0.0
37.5526497110053_126.9067858225766_0_0.jpg,0.3792,0.0059,0.4362,0.0007,0.0258,0.0048,0.0,0.0072,0.0748,0.0049,0.0472,0.0024,0.0,0.0066,0.0043,0.0,0.0,0.0,0.0
37.55445411564624_126.9130758850259_0_0.jpg,0.3254,0.0066,0.2116,0.0,0.0,0.0007,0.0,0.0027,0.2914,0.0097,0.0609,0.0006,0.0,0.0483,0.042,0.0,0.0,0.0,0.0
37.5528021640398_126.9081369675954_0_0.jpg,0.2721,0.004,0.407,0.0,0.0024,0.0037,0.0,0.0009,0.0,0.0022,0.2093,0.0011,0.0,0.0965,0.0003,0.0,0.0,0.0,0.0006
37.55163386719465_126.9033944768318_1_180.jpg,0.3702,0.0,0.3228,0.0,0.0489,0.0165,0.0,0.006,0.0003,0.0536,0.1741,0.0007,0.0,0.0068,0.0,0.0,0.0,0.0,0.0
