Image File,road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle,x,y
37.35990615453873_127.1236736632265_0_0.jpg,0.1605,0.0169,0.0017,0.0567,0.0391,0.0,0.0,0.0025,0.4631,0.0,0.0934,0.0,0.0,0.1661,0.0,0.0,0.0,0.0,0.0,127.1236736632265,37.35990615453873
37.3678566223181_127.1068884210927_1_180.jpg,0.3003,0.0136,0.4181,0.0159,0.0101,0.0002,0.0,0.0032,0.0181,0.0,0.1504,0.0011,0.0,0.0575,0.0116,0.0,0.0,0.0,0.0,127.1068884210927,37.3678566223181
37.35924541274097_127.1208655403552_1_180.jpg,0.3133,0.0025,0.1135,0.0579,0.018,0.002,0.0,0.0083,0.3742,0.03,0.0788,0.0,0.0,0.0006,0.001,0.0,0.0,0.0,0.0,127.1208655403552,37.35924541274097
37.37300997437026_127.1115552607982_0_0.jpg,0.2838,0.0,0.0364,0.0198,0.0437,0.0054,0.0,0.0216,0.5585,0.0004,0.0126,0.0024,0.0,0.0155,0.0,0.0,0.0,0.0,0.0,127.1115552607982,37.37300997437026
37.37020389585219_127.1059125178852_0_0.jpg,0.3858,0.0415,0.1367,0.0,0.0,0.0023,0.0016,0.0019,0.3234,0.0,0.0808,0.01,0.0,0.0155,0.0001,0.0,0.0,0.0001,0.0001,127.1059125178852,37.37020389585219
37.37214834920691_127.1146949275661_0_0.jpg,0.2123,0.1812,0.2338,0.0,0.0,0.0021,0.0,0.0064,0.1575,0.0014,0.1532,0.0116,0.0005,0.0382,0.0,0.0,0.0,0.0015,0.0004,127.1146949275661,37.37214834920691
37.37595613620856_127.1054481676041_0_0.jpg,0.2367,0.0148,0.0782,0.0,0.0,0.008,0.0,0.0041,0.1196,0.1258,0.2995,0.0,0.0,0.0029,0.1105,0.0,0.0,0.0,0.0,127.1054481676041,37.37595613620856
37.37996238477492_127.1103135105608_1_180.jpg,0.3815,0.0024,0.0055,0.0308,0.0027,0.0031,0.0,0.0039,0.1059,0.0,0.3958,0.0,0.0,0.0631,0.0019,0.002,0.0012,0.0,0.0,127.1103135105608,37.37996238477492
37.36938385652993_127.1059113723551_0_0.jpg,0.3857,0.035,0.2119,0.0,0.0009,0.0162,0.0,0.0075,0.2515,0.0,0.0682,0.0144,0.0,0.0018,0.0,0.0,0.0,0.0015,0.0053,127.1059113723551,37.36938385652993
37.35698673545488_127.1242299248059_0_0.jpg,0.2625,0.0161,0.004,0.0004,0.0,0.0,0.0,0.0026,0.4406,0.0499,0.071,0.0002,0.0,0.1527,0.0,0.0,0.0,0.0,0.0,127.1242299248059,37.35698673545488
37.37134014802729_127.115526722116_1_180.jpg,0.1674,0.0015,0.4941,0.0,0.0,0.0,0.0,0.0021,0.0138,0.0,0.1376,0.0039,0.0,0.1759,0.001,0.0,0.0,0.0025,0.0,127.115526722116,37.37134014802729
37.36017318535026_127.113397433329_1_180.jpg,0.2617,0.0016,0.0131,0.0003,0.0108,0.0003,0.0,0.0011,0.2755,0.0019,0.2861,0.0,0.0001,0.1466,0.0,0.0,0.0,0.0008,0.0,127.113397433329,37.36017318535026
37.35815437161602_127.1228518607137_1_180.jpg,0.3314,0.0058,0.1036,0.0001,0.0012,0.0,0.0,0.0036,0.3195,0.0021,0.1858,0.0004,0.0,0.0461,0.0004,0.0,0.0,0.0,0.0,127.1228518607137,37.35815437161602
37.3796285660857_127.1103104014539_1_180.jpg,0.4098,0.0324,0.0425,0.0008,0.0002,0.0036,0.0008,0.0068,0.2174,0.0019,0.2806,0.0,0.0,0.0031,0.0,0.0,0.0,0.0,0.0,127.1103104014539,37.3796285660857
37.36207068952179_127.1138854588303_0_0.jpg,0.3464,0.0,0.6076,0.0,0.0036,0.0,0.0,0.0061,0.0107,0.0,0.0,0.0058,0.0014,0.0181,0.0002,0.0,0.0,0.0,0.0,127.1138854588303,37.36207068952179
37.37355536449292_127.1041939569256_1_180.jpg,0.4437,0.0004,0.0992,0.0,0.0198,0.0013,0.0,0.0006,0.1382,0.0057,0.2747,0.0003,0.0003,0.0147,0.0011,0.0,0.0,0.0,0.0,127.1041939569256,37.37355536449292
37.36295668171742_127.1133440080407_1_180.jpg,0.1817,0.0579,0.2327,0.0,0.0019,0.0,0.0,0.004,0.3119,0.0,0.0193,0.0285,0.0,0.1621,0.0,0.0,0.0,0.0,0.0,127.1133440080407,37.36295668171742
37.35949822249203_127.1259254327751_1_180.jpg,0.2036,0.0008,0.5967,0.0,0.0076,0.0,0.0,0.0018,0.0135,0.0,0.1406,0.0001,0.0,0.0353,0.0001,0.0,0.0,0.0,0.0,127.1259254327751,37.35949822249203
37.36419255608079_127.105975522011_0_0.jpg,0.3057,0.0675,0.3099,0.0,0.0229,0.0025,0.0012,0.0077,0.1331,0.0,0.12,0.0031,0.0,0.0263,0.0,0.0,0.0,0.0,0.0,127.105975522011,37.36419255608079
37.3668549008044_127.1164623261547_1_180.jpg,0.0503,0.0,0.7927,0.0,0.0,0.0,0.0,0.0033,0.0,0.0,0.0,0.1129,0.0,0.0,0.0,0.0,0.0,0.0,0.0408,127.1164623261547,37.3668549008044
37.36163910851597_127.1106476569517_1_180.jpg,0.1284,0.003,0.1075,0.0011,0.0,0.0006,0.0,0.002,0.5351,0.0087,0.0,0.0,0.0,0.212,0.0016,0.0,0.0,0.0,0.0,127.1106476569517,37.36163910851597
37.36974604432079_127.1098642432334_0_0.jpg,0.3579,0.0004,0.0905,0.0,0.0022,0.0048,0.0009,0.0056,0.1995,0.0024,0.2592,0.0005,0.0,0.0745,0.0017,0.0,0.0,0.0,0.0,127.1098642432334,37.36974604432079
37.37855764590739_127.1093614630682_0_0.jpg,0.3513,0.0613,0.1278,0.0,0.0,0.0301,0.0005,0.0031,0.1103,0.0,0.3012,0.0,0.0,0.013,0.0014,0.0,0.0,0.0,0.0,127.1093614630682,37.37855764590739
37.35930903536644_127.1231521641086_1_180.jpg,0.2182,0.0,0.5924,0.0,0.0,0.0,0.0,0.0011,0.0094,0.0,0.1238,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.0,127.1231521641086,37.35930903536644
37.36419807745997_127.1072754403524_1_180.jpg,0.1417,0.0585,0.7004,0.0,0.0012,0.0004,0.0,0.0085,0.0,0.0,0.0,0.0053,0.0,0.0841,0.0,0.0,0.0,0.0,0.0,127.1072754403524,37.36419807745997
