Image File,road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle,SafeScore,RiskScore,BSS,x,y
37.37078618070927_127.1121590691845_0_0.jpg,0.2281,0.0062,0.3792,0.0,0.0087,0.0,0.0,0.0042,0.1114,0.0,0.1589,0.0,0.0043,0.0619,0.006,0.0,0.0,0.0301,0.0012,0.0161,0.3261,0.049371207080015,127.1121590691845,37.37078618070927
37.36933526431625_127.110829620449_0_0.jpg,0.2119,0.0024,0.6411,0.0,0.0,0.0,0.0,0.003,0.0003,0.0,0.034,0.0001,0.0,0.1072,0.0,0.0,0.0,0.0,0.0,0.0024999999999999,0.3191,0.0078345100767468,127.110829620449,37.36933526431625
37.37339432791091_127.1123024115736_0_0.jpg,0.2624,0.0054,0.13,0.0002,0.0093,0.0035,0.0,0.0064,0.2222,0.0016,0.2052,0.0015,0.0,0.1522,0.0,0.0,0.0,0.0,0.0,0.0197,0.4146,0.0475155631559017,127.1123024115736,37.37339432791091
37.36417887031117_127.1065780677895_0_0.jpg,0.3451,0.0394,0.471,0.0,0.0,0.0037,0.0,0.0028,0.0942,0.0,0.0325,0.0107,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0538,0.3457,0.1556258153722436,127.1065780677895,37.36417887031117
37.37347826338344_127.1122465309842_0_0.jpg,0.3621,0.008,0.1924,0.0,0.0,0.0,0.0,0.0047,0.0442,0.0096,0.3067,0.0025,0.0034,0.0544,0.003,0.0,0.0,0.0091,0.0,0.0105,0.4286,0.0244983096166364,127.1122465309842,37.37347826338344
37.36171752106561_127.114278004028_0_0.jpg,0.3143,0.018,0.3368,0.0002,0.0,0.001,0.0,0.0057,0.0007,0.0093,0.2228,0.0016,0.0005,0.0824,0.0007,0.0,0.0,0.0036,0.0022,0.0228,0.401,0.0568577135717866,127.114278004028,37.36171752106561
37.35962806211896_127.1270267922415_0_0.jpg,0.2296,0.0039,0.3837,0.0,0.0191,0.0015,0.0,0.0055,0.3013,0.0066,0.0326,0.0,0.0,0.0161,0.0,0.0,0.0,0.0,0.0,0.0245,0.2457,0.0997146938758898,127.1270267922415,37.35962806211896
37.3724371586646_127.1060570181755_1_180.jpg,0.2459,0.0139,0.3068,0.0,0.0,0.0085,0.0,0.0035,0.1207,0.005,0.0968,0.0025,0.0008,0.1952,0.0,0.0,0.0,0.0001,0.0002,0.0250999999999999,0.4412,0.0568901702398679,127.1060570181755,37.3724371586646
37.37314895088199_127.1117504763643_1_180.jpg,0.2649,0.106,0.1324,0.0,0.0,0.0016,0.0,0.0028,0.3408,0.0181,0.1174,0.0024,0.0,0.013,0.0,0.0,0.0,0.0001,0.0007,0.1107,0.278,0.3982000064747968,127.1117504763643,37.37314895088199
37.36418276625101_127.1066369801982_1_180.jpg,0.1108,0.0198,0.4728,0.0,0.0,0.0035,0.0,0.0013,0.2071,0.0,0.0016,0.0164,0.0,0.1665,0.0,0.0,0.0,0.0,0.0001,0.0398,0.2773,0.1435263486247796,127.1066369801982,37.36418276625101
37.36295497970849_127.1137233840038_1_180.jpg,0.3096,0.0111,0.4699,0.0,0.0,0.0,0.0,0.0033,0.0253,0.0,0.0864,0.0078,0.0,0.0857,0.0,0.0,0.0,0.0009,0.0,0.0189,0.3962,0.0477030598105507,127.1137233840038,37.36295497970849
37.37344377845857_127.1129359128061_0_0.jpg,0.1702,0.046,0.4637,0.0,0.0666,0.0019,0.0,0.0045,0.1357,0.0,0.0997,0.0055,0.0,0.0035,0.0023,0.0,0.0,0.0,0.0004,0.1204,0.176,0.6840870222328282,127.1129359128061,37.37344377845857
37.35910013239769_127.1261488307972_0_0.jpg,0.2053,0.1126,0.0071,0.0273,0.0,0.01,0.0,0.0007,0.6216,0.0025,0.0,0.0,0.0,0.0129,0.0,0.0,0.0,0.0,0.0,0.1226,0.2182,0.5618672691692522,127.1261488307972,37.35910013239769
37.36220893393466_127.1123708918269_1_180.jpg,0.1672,0.0013,0.0139,0.0052,0.0,0.0052,0.0,0.0,0.6186,0.0248,0.0002,0.0384,0.0002,0.1251,0.0,0.0,0.0,0.0,0.0,0.0448999999999999,0.2923,0.1536087799904892,127.1123708918269,37.36220893393466
37.36855760807087_127.1106016750962_1_180.jpg,0.3253,0.0026,0.0656,0.0,0.0,0.0009,0.0017,0.0057,0.5799,0.0,0.0136,0.0035,0.0003,0.0002,0.0,0.0,0.0007,0.0,0.0,0.0069999999999999,0.3278999999999999,0.0213479068377345,127.1106016750962,37.36855760807087
37.36970437822752_127.1123177930459_1_180.jpg,0.2444,0.0,0.3659,0.0068,0.0,0.0002,0.0,0.0026,0.0732,0.0,0.1833,0.0109,0.0,0.1029,0.0097,0.0,0.0,0.0,0.0,0.0111,0.357,0.0310923498813728,127.1123177930459,37.36970437822752
37.35992885704765_127.1124413356042_0_0.jpg,0.0239,0.1921,0.0778,0.0024,0.2144,0.0114,0.0004,0.0066,0.2668,0.0,0.201,0.0004,0.0,0.0022,0.0,0.0,0.0006,0.0,0.0,0.4183,0.0271,15.434854802405814,127.1124413356042,37.35992885704765
37.36859990946667_127.1168870909754_1_180.jpg,0.3083,0.0406,0.1236,0.0,0.0086,0.0001,0.0,0.0009,0.2487,0.0345,0.2046,0.0023,0.0179,0.0056,0.0044,0.0,0.0,0.0,0.0001,0.0516999999999999,0.3183,0.1624248745684116,127.1168870909754,37.36859990946667
37.37044950441162_127.1123439742679_0_0.jpg,0.168,0.0114,0.2534,0.0035,0.0017,0.0008,0.0,0.0076,0.1317,0.0069,0.187,0.0005,0.0,0.2262,0.0012,0.0,0.0,0.0,0.0,0.0144,0.3954,0.0364187242824373,127.1123439742679,37.37044950441162
37.36297832533722_127.1133262541459_0_0.jpg,0.3557,0.0098,0.2628,0.0,0.0047,0.0004,0.0,0.0076,0.2149,0.001,0.0802,0.0,0.0,0.0628,0.0001,0.0,0.0,0.0,0.0,0.0148999999999999,0.4186,0.0355947549098067,127.1133262541459,37.36297832533722
37.36755075479502_127.1068951305351_0_0.jpg,0.31,0.0447,0.4274,0.0063,0.0001,0.0017,0.0,0.0511,0.0472,0.0,0.0897,0.0162,0.0,0.0035,0.0,0.0,0.0,0.0,0.002,0.0647,0.3135,0.2063789270209664,127.1068951305351,37.36755075479502
37.38345770408438_127.113445131524_0_0.jpg,0.3282,0.0,0.0233,0.3151,0.0,0.0083,0.0003,0.0051,0.0119,0.0,0.3058,0.0003,0.0,0.0008,0.0008,0.0,0.0,0.0,0.0,0.0086,0.3301,0.0260526323761515,127.113445131524,37.38345770408438
37.36032086527438_127.1247358737167_0_0.jpg,0.2766,0.0247,0.0357,0.0014,0.015,0.0025,0.0,0.0029,0.3703,0.0031,0.1426,0.0027,0.0,0.1206,0.002,0.0,0.0,0.0,0.0,0.0449,0.3992,0.1124746681496288,127.1247358737167,37.36032086527438
37.37510968465219_127.1045539883106_0_0.jpg,0.3948,0.0086,0.0442,0.0008,0.0138,0.0097,0.0003,0.005,0.0834,0.0001,0.4054,0.0031,0.0,0.0303,0.0006,0.0,0.0,0.0,0.0,0.0352,0.426,0.0826289140166337,127.1045539883106,37.37510968465219
37.3616790894167_127.1060987481038_1_180.jpg,0.3724,0.0536,0.2251,0.0012,0.012,0.0001,0.0,0.011,0.2058,0.0012,0.1034,0.0053,0.0016,0.0072,0.0,0.0,0.0,0.0,0.0,0.071,0.3796,0.1870384956836257,127.1060987481038,37.3616790894167
37.35767487857337_127.1252167059559_1_180.jpg,0.1589,0.0,0.0089,0.0,0.0078,0.0033,0.0,0.0054,0.569,0.0389,0.0482,0.0004,0.0,0.1592,0.0,0.0,0.0,0.0,0.0,0.0114999999999999,0.3181,0.0361520397609564,127.1252167059559,37.35767487857337
37.36033972009268_127.1257048971042_1_180.jpg,0.3062,0.0054,0.3295,0.0055,0.0,0.0,0.0,0.0011,0.0397,0.0,0.2285,0.0004,0.0,0.0837,0.0,0.0,0.0,0.0,0.0,0.0058,0.3899,0.0148755709782739,127.1257048971042,37.36033972009268
37.37101511014867_127.1149515765163_1_180.jpg,0.3665,0.0037,0.1435,0.0,0.0028,0.0001,0.0,0.0105,0.1901,0.0003,0.201,0.0023,0.0,0.0789,0.0003,0.0,0.0,0.0,0.0,0.0089,0.4457,0.0199685439341621,127.1149515765163,37.37101511014867
37.36855973999175_127.1124596624293_0_0.jpg,0.1958,0.0286,0.0191,0.0445,0.0194,0.0058,0.0,0.0089,0.4979,0.0,0.0116,0.0436,0.0,0.1246,0.0001,0.0,0.0,0.0,0.0001,0.0975,0.3205,0.3042112193097682,127.1124596624293,37.36855973999175
37.36165493968272_127.1102325919201_0_0.jpg,0.2758,0.0115,0.4088,0.0,0.0082,0.0,0.0,0.0097,0.0152,0.0014,0.1401,0.0038,0.0,0.0728,0.0419,0.0,0.0,0.0108,0.0,0.0235,0.4013,0.058559535112048,127.1102325919201,37.36165493968272
37.3598148915594_127.1239344522764_1_180.jpg,0.0152,0.0014,0.175,0.0,0.0,0.0047,0.0,0.011,0.1879,0.0,0.017,0.0,0.0,0.0073,0.5805,0.0,0.0,0.0,0.0,0.0061,0.603,0.0101160694592546,127.1239344522764,37.3598148915594
37.36231967745447_127.1142790676115_0_0.jpg,0.2397,0.0105,0.42,0.0013,0.0002,0.0,0.0,0.0031,0.0279,0.0,0.1351,0.0054,0.0,0.1566,0.0004,0.0,0.0,0.0,0.0,0.0161,0.3967,0.0405847224988089,127.1142790676115,37.36231967745447
37.36194701240257_127.1142676136344_0_0.jpg,0.3104,0.0276,0.3446,0.0,0.0002,0.0001,0.0,0.0051,0.0131,0.0,0.2128,0.0096,0.0,0.076,0.0,0.0,0.0,0.0005,0.0,0.0375,0.3869,0.0969240193227724,127.1142676136344,37.36194701240257
37.37296203121606_127.1143589181443_1_180.jpg,0.3217,0.0019,0.4604,0.0,0.0022,0.0,0.0,0.0052,0.0209,0.0,0.1632,0.0037,0.0,0.0163,0.0,0.0,0.0,0.0045,0.0,0.0078,0.3424999999999999,0.0227736561353105,127.1143589181443,37.37296203121606
37.36855848154126_127.1108508931302_0_0.jpg,0.3667,0.0221,0.0085,0.0,0.0226,0.0,0.0,0.0027,0.5499,0.0,0.0,0.0,0.0,0.013,0.0145,0.0,0.0,0.0,0.0,0.0447,0.3942,0.1133939284781114,127.1108508931302,37.36855848154126
